typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,276,DEU,Germany,0,W00,World,H4,HS,TRUE,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,80856345.81,80856345.81,0,FALSE,TRUE
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,608,PHL,Philippines,0,W00,World,H4,HS,TRUE,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,85612943.98,85612943.98,0,FALSE,TRUE
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,699,IND,India,0,W00,World,H4,HS,TRUE,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,987361195.6,987361195.6,0,FALSE,TRUE
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,704,VNM,Viet Nam,0,W00,World,H4,HS,TRUE,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,21349593.15,21349593.15,0,FALSE,TRUE
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,TRUE,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,1790637391,1790637391,0,FALSE,TRUE
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,36,AUS,Australia,0,W00,World,H4,HS,TRUE,83,Metal; miscellaneous products of base metal,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,14865731.33,14865731.33,0,FALSE,TRUE
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,276,DEU,Germany,0,W00,World,H4,HS,TRUE,83,Metal; miscellaneous products of base metal,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,15178850.65,15178850.65,0,FALSE,TRUE
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,608,PHL,Philippines,0,W00,World,H4,HS,TRUE,83,Metal; miscellaneous products of base metal,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,25681666.58,25681666.58,0,FALSE,TRUE
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,699,IND,India,0,W00,World,H4,HS,TRUE,83,Metal; miscellaneous products of base metal,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,10632459.97,10632459.97,0,FALSE,TRUE
C,A,20130101,2013,52,2013,702,SGP,Singapore,X,Export,704,VNM,Viet Nam,0,W00,World,H4,HS,TRUE,83,Metal; miscellaneous products of base metal,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,18819982.49,18819982.49,0,FALSE,TRUE
