refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
2013,52,2013,702,SGP,Singapore,X,Export,842,USA,USA,0,W00,World,H4,HS,TRUE,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,216383421.4,216383421.4,0,FALSE,TRUE
2013,52,2013,702,SGP,Singapore,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,38,Chemical products n.e.c.,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,957377667.1,957377667.1,0,FALSE,TRUE
2013,52,2013,702,SGP,Singapore,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,TRUE,38,Chemical products n.e.c.,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,,FALSE,,94270466.3,94270466.3,0,FALSE,TRUE
2013,52,2013,702,SGP,Singapore,X,Export,360,IDN,Indonesia,0,W00,World,H4,HS,TRUE,38,Chemical products n.e.c.,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,,FALSE,,405363016.4,405363016.4,0,FALSE,TRUE
2013,52,2013,702,SGP,Singapore,X,Export,392,JPN,Japan,0,W00,World,H4,HS,TRUE,38,Chemical products n.e.c.,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,,FALSE,,323361587.3,323361587.3,0,FALSE,TRUE
2013,52,2013,702,SGP,Singapore,X,Export,410,KOR,Rep. of Korea,0,W00,World,H4,HS,TRUE,38,Chemical products n.e.c.,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,525212777.6,525212777.6,0,FALSE,TRUE
2013,52,2013,702,SGP,Singapore,X,Export,458,MYS,Malaysia,0,W00,World,H4,HS,TRUE,38,Chemical products n.e.c.,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,,FALSE,,467637440.5,467637440.5,0,FALSE,TRUE
2013,52,2013,702,SGP,Singapore,X,Export,682,SAU,Saudi Arabia,0,W00,World,H4,HS,TRUE,38,Chemical products n.e.c.,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,15719591.39,15719591.39,0,FALSE,TRUE
2013,52,2013,702,SGP,Singapore,X,Export,764,THA,Thailand,0,W00,World,H4,HS,TRUE,38,Chemical products n.e.c.,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,,FALSE,,281834934.9,281834934.9,0,FALSE,TRUE
2013,52,2013,702,SGP,Singapore,X,Export,842,USA,USA,0,W00,World,H4,HS,TRUE,38,Chemical products n.e.c.,2,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,,FALSE,,306150474.1,306150474.1,0,FALSE,TRUE
