Year,Country,Partner Country,FTA,FTA Weight,Other Agreements,Tariff %,Product Tariffed,Weight in Exports
2014,IDN,KOR,,0,,,,
2014,IDN,MYS,,1,,,,
2014,IDN,SAU,,0,,,,
2014,IDN,THA,,1,,,,
2014,IDN,SG,,1,,,,
2014,IDN,USA,,0,,,,
2015,SGP,CHN,,1,0.5,,,
2015,SGP,HKG,,0,0.5,,,
2015,SGP,JPN,,1,0.8,,,
2015,SGP,KOR,,1,0.8,,,
2015,SGP,MYS,ASEAN,1,1,,,
2015,SGP,SAU,,0,0.8,,,
2015,SGP,THA,ASEAN,1,0.8,,,
2015,SGP,USA,,1,0.8,,,
2015,CHN,HKG,,1,,,,
2015,CHN,JPN,,0,0.2,,,
2015,CHN,KOR,,1,0.2,,,
2015,CHN,MYS,ACFTA,1,,,,
2015,CHN,SAU,,0,0.8,,,
2015,CHN,THA,ACFTA,1,,,,
2015,CHN,USA,,0,0.4,,,
2015,HKG,JPN,,0,1,,,
2015,HKG,KOR,,0,1,,,
2015,HKG,MYS,,1,,,,
2015,HKG,SAU,,0,0.5,,,
2015,HKG,THA,,1,,,,
2015,HKG,USA,,0,1,,,
2015,JPN,KOR,,0,1,,,
2015,JPN,MYS,,1,,,,
2015,JPN,SAU,,0,0.5,,,
2015,JPN,THA,,1,,,,
2015,JPN,USA,,0,0.5,,,
2015,KOR,MYS,,1,,,,
2015,KOR,SAU,,0,0.5,,,
2015,KOR,THA,,1,,,,
2015,KOR,USA,,1,,,,
2015,MYS,SAU,,1,0.5,,,
2015,MYS,THA,,1,,,,
2015,MYS,USA,,0,0.5,,,
2015,SAU,THA,,0,0.6,,,
2015,SAU,USA,,0,1,,,
2015,THA,USA,,0,0.6,,,
2015,IDN,CHN,,1,,,,
2015,IDN,HKG,,1,,,,
2015,IDN,JPN,,1,,,,
2015,IDN,KOR,,0,,,,
2015,IDN,MYS,,1,,,,
2015,IDN,SAU,,0,,,,
2015,IDN,THA,,1,,,,
2015,IDN,SG,,1,,,,
2015,IDN,USA,,0,,,,
2016,SGP,CHN,,1,0.5,,,
2016,SGP,HKG,,0,0.5,,,
2016,SGP,JPN,,1,0.8,,,
2016,SGP,KOR,,1,0.8,,,
2016,SGP,MYS,ASEAN,1,1,,,
2016,SGP,SAU,,0,0.8,,,
2016,SGP,THA,ASEAN,1,0.8,,,
2016,SGP,USA,,1,0.8,,,
2016,CHN,HKG,,1,,,,
2016,CHN,JPN,,0,0.2,,,
2016,CHN,KOR,,1,0.2,,,
2016,CHN,MYS,ACFTA,1,,,,
2016,CHN,SAU,,0,0.8,,,
2016,CHN,THA,ACFTA,1,,,,
2016,CHN,USA,,0,0.4,,,
2016,HKG,JPN,,0,1,,,
2016,HKG,KOR,,0,1,,,
2016,HKG,MYS,,1,,,,
2016,HKG,SAU,,0,0.5,,,
2016,HKG,THA,,1,,,,
2016,HKG,USA,,0,1,,,
2016,JPN,KOR,,0,1,,,
2016,JPN,MYS,,1,,,,
2016,JPN,SAU,,0,0.6,,,
2016,JPN,THA,,1,,,,
2016,JPN,USA,,0,0.5,,,
2016,KOR,MYS,,1,,,,
2016,KOR,SAU,,0,0.5,,,
2016,KOR,THA,,1,,,,
2016,KOR,USA,,1,,,,
2016,MYS,SAU,,1,0.5,,,
2016,MYS,THA,,1,,,,
2016,MYS,USA,,0,0.5,,,
2016,SAU,THA,,0,0.6,,,
2016,SAU,USA,,0,1,,,
2016,THA,USA,,0,0.6,,,
2016,IDN,CHN,,1,,,,
2016,IDN,HKG,,1,,,,
2016,IDN,JPN,,1,,,,
2016,IDN,KOR,,0,,,,
2016,IDN,MYS,,1,,,,
2016,IDN,SAU,,0,,,,
2016,IDN,THA,,1,,,,
2016,IDN,SG,,1,,,,
2016,IDN,USA,,0,,,,
2017,SGP,CHN,,1,0.5,,,
2017,SGP,HKG,,1,0.5,,,
2017,SGP,JPN,,1,0.8,,,
2017,SGP,KOR,,1,0.8,,,
2017,SGP,MYS,ASEAN,1,1,,,
2017,SGP,SAU,,0,0.8,,,
2017,SGP,THA,ASEAN,1,0.8,,,
2017,SGP,USA,,1,0.8,,,
2017,CHN,HKG,,1,,,,
