typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","83","Metal; miscellaneous products of base metal","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","42838028.764",,"42838028.764","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","83","Metal; miscellaneous products of base metal","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","1548383.62",,"1548383.62","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","83","Metal; miscellaneous products of base metal","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","8020751.563",,"8020751.563","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","83","Metal; miscellaneous products of base metal","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","10932029.138",,"10932029.138","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","83","Metal; miscellaneous products of base metal","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","146334.225",,"146334.225","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","353960700.536",,"353960700.536","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","2773533692.603",,"2773533692.603","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","262299854.428",,"262299854.428","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","277847156.386",,"277847156.386","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","300088864.544",,"300088864.544","0","false","true",
