Year,Product,HS Code,Country,Imports,Exports,Trade Volume
2014,Electrical Equipment & AV Gear,85.0,Saudi Arabia,4854650.647,77173005.65,82027656.297
2014,Electrical Equipment & AV Gear,85.0,Thailand,1753473011.0,4740902263.0,6494375274.0
2014,Electrical Equipment & AV Gear,85.0,United States,5827883533.0,7654552108.0,13482435641.0
2014,Cosmetics & Fragrances,33.0,Thailand,66466347.77,410261071.7,476727419.47
2014,Cosmetics & Fragrances,33.0,United States,385233947.2,199194403.4,584428350.6
2014,Other Chemicals,38.0,Japan,366694579.1,325414919.4,692109498.5
2014,Base Metal Products,83.0,Indonesia,15592531.74,90278975.81,105871507.55
2014,Base Metal Products,83.0,China,142321959.0,35211111.37,177533070.37
2014,Jewellery & Precious Metals,71.0,South Korea,281506938.1,58423246.91,339930185.01
2014,Jewellery & Precious Metals,71.0,Malaysia,1140037670.0,1944336441.0,3084374111.0
2014,Jewellery & Precious Metals,71.0,Japan,1088561943.0,202536968.7,1291098911.7
2014,Jewellery & Precious Metals,71.0,Indonesia,1179379262.0,843360742.7,2022740004.7
2014,Jewellery & Precious Metals,71.0,China,392282646.8,3380667012.0,3772949658.8
2014,Mineral Fuels & Oils,27.0,United States,3336138334.0,767763253.6,4103901587.6
2014,Mineral Fuels & Oils,27.0,Thailand,2769784418.0,1228918582.0,3998703000.0
2014,Mineral Fuels & Oils,27.0,Saudi Arabia,10879349426.0,171546476.7,11050895902.7
2014,Mineral Fuels & Oils,27.0,South Korea,8082316075.0,1909738576.0,9992054651.0
2014,Mineral Fuels & Oils,27.0,Malaysia,11695509787.0,18079246789.0,29774756576.0
2014,Mineral Fuels & Oils,27.0,Japan,2908637304.0,194367257.9,3103004561.9
2014,Mineral Fuels & Oils,27.0,Indonesia,7633737699.0,13998213678.0,21631951377.0
2014,Mineral Fuels & Oils,27.0,China,4741065698.0,5206772235.0,9947837933.0
2014,Jewellery & Precious Metals,71.0,Saudi Arabia,12730.787,4231560.996,4244291.783
2014,Jewellery & Precious Metals,71.0,United States,1386203909.0,538455931.3,1924659840.3
2014,Base Metal Products,83.0,United States,73930471.68,30490350.68,104420822.36
2014,Base Metal Products,83.0,Thailand,9131046.713,22399728.97,31530775.683
2014,Base Metal Products,83.0,Saudi Arabia,14015.632,814081.454,828097.086
2014,Base Metal Products,83.0,South Korea,15995549.86,7099393.397,23094943.257
2014,Base Metal Products,83.0,Malaysia,58570116.28,86926049.99,145496166.26999998
2014,Base Metal Products,83.0,Japan,27805581.77,5449670.992,33255252.762
2015,Organic Chemicals,29.0,Malaysia,231291675.1,1000734390.0,1232026065.1
2015,Organic Chemicals,29.0,Japan,268091975.5,226429857.9,494521833.4
2015,Organic Chemicals,29.0,Indonesia,60028743.86,1158015069.0,1218043812.86
2015,Organic Chemicals,29.0,China,704644668.0,2234411494.0,2939056162.0
2015,Optical & Medical Instruments,90.0,United States,2856794793.0,3041107563.0,5897902356.0
2015,Optical & Medical Instruments,90.0,Thailand,114151177.4,524204437.6,638355615.0
2015,Optical & Medical Instruments,90.0,Saudi Arabia,753148.977,46606046.06,47359195.037
2015,Optical & Medical Instruments,90.0,South Korea,123990398.1,760159482.2,884149880.3000001
2015,Optical & Medical Instruments,90.0,Malaysia,1191685352.0,1071951672.0,2263637024.0
2015,Optical & Medical Instruments,90.0,Japan,865679685.6,1008204768.0,1873884453.6
2015,Optical & Medical Instruments,90.0,Indonesia,290352070.1,872776771.2,1163128841.3000002
2015,Optical & Medical Instruments,90.0,China,1031433576.0,2465698215.0,3497131791.0
2015,Machinery & Boilers,84.0,United States,9647732187.0,5520190926.0,15167923113.0
2015,Machinery & Boilers,84.0,Thailand,1817730573.0,2334770559.0,4152501132.0
2015,Machinery & Boilers,84.0,Saudi Arabia,4675613.571,454954155.6,459629769.171
2015,Organic Chemicals,29.0,South Korea,107499730.4,364748930.9,472248661.3
2015,Organic Chemicals,29.0,Saudi Arabia,857135416.3,18026878.7,875162295.0
2015,Machinery & Boilers,84.0,South Korea,910823639.0,2098595883.0,3009419522.0
2015,Organic Chemicals,29.0,United States,963267983.0,1205648832.0,2168916815.0
2015,All Products,99.0,China,32576608347.3,45901790510.95,78478398858.25
2015,All Products,99.0,Indonesia,10919380251.869999,24121808739.56,35041188991.43
2015,All Products,99.0,Japan,14485300256.11,11413486672.805,25898786928.915
2015,All Products,99.0,Malaysia,25866803814.34,32658120672.83,58524924487.17
2015,All Products,99.0,Saudi Arabia,7951110296.419,712847598.25,8663957894.668999
2015,All Products,99.0,South Korea,16979337915.71,12390248668.621,29369586584.331
2015,All Products,99.0,Thailand,6457414321.18,11223452368.77,17680866689.95
2015,All Products,99.0,United States,23243624866.42,19343638046.11,42587262912.53
2015,Plastics,39.0,United States,1090912786.0,358234249.8,1449147035.8
2015,Plastics,39.0,Thailand,176234545.0,733935055.6,910169600.6
2015,Plastics,39.0,Saudi Arabia,1658068914.0,53340469.53,1711409383.53
2015,Plastics,39.0,South Korea,217718408.6,274770334.3,492488742.9
2015,Plastics,39.0,Malaysia,802792311.8,1559176216.0,2361968527.8
2015,Plastics,39.0,Japan,410510606.4,325582658.7,736093265.0999999
2015,Plastics,39.0,Indonesia,144112430.0,1490835468.0,1634947898.0
2015,Organic Chemicals,29.0,Thailand,321916679.8,610651370.7,932568050.5
2015,Plastics,39.0,China,578247232.6,4248489102.0,4826736334.6
2015,Machinery & Boilers,84.0,Malaysia,3952318738.0,4648963981.0,8601282719.0
2015,Machinery & Boilers,84.0,Indonesia,1655732965.0,5413407227.0,7069140192.0
2015,Cosmetics & Fragrances,33.0,Saudi Arabia,5054275.545,4196268.255,9250543.8
2015,Cosmetics & Fragrances,33.0,South Korea,63992785.69,601080661.8,665073447.49
2015,Cosmetics & Fragrances,33.0,Malaysia,61038683.05,255565169.6,316603852.65
2015,Cosmetics & Fragrances,33.0,Japan,174894623.0,280676725.2,455571348.2
2015,Cosmetics & Fragrances,33.0,Indonesia,68311989.74,489032668.5,557344658.24
2015,Cosmetics & Fragrances,33.0,China,148967920.3,529246292.0,678214212.3
2015,Electrical Equipment & AV Gear,85.0,United States,4705460159.0,7409937215.0,12115397374.0
2015,Electrical Equipment & AV Gear,85.0,Thailand,1724731878.0,5061066322.0,6785798200.0
2015,Electrical Equipment & AV Gear,85.0,Saudi Arabia,534316.29,63845094.18,64379410.47
2015,Electrical Equipment & AV Gear,85.0,South Korea,11270281656.0,6809030406.0,18079312062.0
2015,Cosmetics & Fragrances,33.0,Thailand,66143198.7,466880357.1,533023555.8
2015,Electrical Equipment & AV Gear,85.0,Malaysia,11422295518.0,11399510534.0,22821806052.0
2015,Electrical Equipment & AV Gear,85.0,Indonesia,1986642708.0,4787124822.0,6773767530.0
2015,Machinery & Boilers,84.0,Japan,3909000940.0,2824751040.0,6733751980.0
2015,Other Chemicals,38.0,United States,1132081780.0,367221914.3,1499303694.3
2015,Other Chemicals,38.0,Thailand,26795964.92,324325576.6,351121541.52000004
2015,Other Chemicals,38.0,Saudi Arabia,12429594.31,21884400.69,34313995.0
2015,Other Chemicals,38.0,South Korea,97487831.72,491344458.4,588832290.12
2015,Other Chemicals,38.0,Malaysia,327294153.6,377835170.3,705129323.9000001
2015,Other Chemicals,38.0,Japan,319956613.4,334386039.0,654342652.4
2015,Other Chemicals,38.0,Indonesia,258716505.6,377473762.7,636190268.3
2015,Other Chemicals,38.0,China,279567906.5,1124468444.0,1404036350.5
2015,Electrical Equipment & AV Gear,85.0,Japan,4610786752.0,5712599557.0,10323386309.0
2015,Cosmetics & Fragrances,33.0,United States,404627066.7,200305979.0,604933045.7
2015,Electrical Equipment & AV Gear,85.0,China,16301633099.0,22032838752.0,38334471851.0
2015,Base Metal Products,83.0,Indonesia,11217775.57,75491430.16,86709205.72999999
2015,Base Metal Products,83.0,China,128714912.0,37130360.95,165845272.95
2015,Machinery & Boilers,84.0,China,9558268838.0,5573599475.0,15131868313.0
2015,Jewellery & Precious Metals,71.0,United States,804900847.0,316673709.5,1121574556.5
2015,Jewellery & Precious Metals,71.0,Thailand,392701123.7,505358348.7,898059472.4
