Country Code,Year,GDP,GDP_normalized
SGP,1985,19156532746.0,0.0044149852605911985
THA,1985,38900711333.0,0.008965404618827466
USA,1985,4338980000000.0,1.0
CHN,1986,300758000000.0,0.06567299104949527
HKG,1986,41075396885.0,0.008969151849603571
JPN,1986,2120080000000.0,0.4629369621563314
KOR,1986,116836000000.0,0.02551210468968017
MYS,1986,27734111400.0,0.006055972076346779
SAU,1986,86961922765.0,0.018988853415013877
SGP,1986,18586746057.0,0.004058569372853265
THA,1986,43096773981.0,0.009410536218209769
USA,1986,4579630000000.0,1.0
CHN,1987,272973000000.0,0.05622258105708907
HKG,1987,50622896163.0,0.010426488637590058
JPN,1987,2580750000000.0,0.5315413101774997
KOR,1987,147949000000.0,0.030472151622377566
MYS,1987,32181210158.0,0.006628167242267086
SAU,1987,85695861148.0,0.01765025295414008
SGP,1987,20919215578.0,0.004308603024785695
THA,1987,50535446555.0,0.010408477176111484
USA,1987,4855220000000.0,1.0
CHN,1988,312354000000.0,0.059650067603180784
HKG,1988,59707404561.0,0.011402289448747622
JPN,1988,3125720000000.0,0.5969169894050156
KOR,1988,199591000000.0,0.0381157809504167
MYS,1988,35272109220.0,0.006735894848408461
SAU,1988,88256074766.0,0.016854212932068353
SGP,1988,25371462488.0,0.0048451739135748715
THA,1988,61667253471.0,0.011776560692187823
USA,1988,5236440000000.0,1.0
CHN,1989,347768000000.0,0.06164372392131282
HKG,1989,68790219178.0,0.012193431481606216
JPN,1989,3109460000000.0,0.5511682897344361
KOR,1989,246929000000.0,0.04376947592695663
MYS,1989,38847965293.0,0.006886008049695298
SAU,1989,95344459279.0,0.01690031148703023
SGP,1989,30465364739.0,0.005400147607407854
THA,1989,72250748100.0,0.012806828601207463
USA,1989,5641580000000.0,1.0
CHN,1990,360858000000.0,0.06051476235674494
HKG,1990,76928784621.0,0.012900717511411773
JPN,1990,3185900000000.0,0.534265504415459
KOR,1990,283366000000.0,0.047519595380957014
MYS,1990,44024585240.0,0.007382785787353643
SAU,1990,117630000000.0,0.019726184526943857
SGP,1990,36144336769.0,0.006061292669466087
THA,1990,85343190719.0,0.014311787199193713
USA,1990,5963140000000.0,1.0
CHN,1991,383373000000.0,0.06225477539447852
HKG,1991,88959997900.0,0.014445943476347528
JPN,1991,3648070000000.0,0.5923989912522145
KOR,1991,330647000000.0,0.05369276062700852
MYS,1991,49143148094.0,0.00798020634413369
