Partner,HS Code,HS_Section,Predicted Imports,Target Year
Indonesia,All Products,All,39896251908.81279,2025
Japan,All Products,All,36768666213.28471,2025
Malaysia,All Products,All,53995393865.538185,2025
Saudi Arabia,All Products,All,9010614994.545908,2025
South Korea,All Products,All,57802148831.128815,2025
Thailand,All Products,All,19119577923.017746,2025
United States of America,All Products,All,311990485559.7009,2025
China,38.0,38,1276932425.888246,2026
China,85.0,85,90769266155.50197,2026
China,33.0,33,210910271.33555207,2026
China,84.0,84,33361762659.175755,2026
China,83.0,83,8870684.386491613,2026
China,27.0,27,1048746901428.6637,2026
China,71.0,71,4305487161.445206,2026
China,90.0,90,1085593936.527728,2026
China,29.0,29,2355868635.3189178,2026
China,39.0,39,7171104022.962127,2026
Indonesia,38.0,38,81672610.54873404,2026
Indonesia,85.0,85,7254254726.519884,2026
Indonesia,33.0,33,17303839.130875513,2026
Indonesia,84.0,84,2902106878.2317715,2026
Indonesia,83.0,83,731465.2896868032,2026
Indonesia,27.0,27,79282337749.71175,2026
Indonesia,71.0,71,352229486.81058276,2026
Indonesia,90.0,90,105224407.71556135,2026
Indonesia,29.0,29,210731237.75861526,2026
Indonesia,39.0,39,501851339.4355731,2026
Japan,38.0,38,89894890.53336097,2026
Japan,85.0,85,6139148289.034538,2026
Japan,33.0,33,13866351.004963366,2026
Japan,84.0,84,2497504509.1525855,2026
Japan,83.0,83,617065.5025011163,2026
Japan,27.0,27,63738419841.27121,2026
Japan,71.0,71,257915424.48331553,2026
Japan,90.0,90,79973283.68397415,2026
Japan,29.0,29,171320775.59802267,2026
Japan,39.0,39,428895464.41690224,2026
Malaysia,38.0,38,97346326.20660338,2026
Malaysia,85.0,85,8079760363.184341,2026
Malaysia,33.0,33,19189269.092979025,2026
Malaysia,84.0,84,3034808000.502398,2026
Malaysia,83.0,83,794015.8544443207,2026
Malaysia,27.0,27,91578896631.55086,2026
Malaysia,71.0,71,397684168.3737113,2026
Malaysia,90.0,90,109254885.22091244,2026
Malaysia,29.0,29,234296405.33124632,2026
Malaysia,39.0,39,580947570.9139801,2026
Saudi Arabia,38.0,38,34291959.42344445,2026
Saudi Arabia,85.0,85,3320006512.143984,2026
Saudi Arabia,33.0,33,5327824.400318154,2026
Saudi Arabia,84.0,84,803244327.3603994,2026
Saudi Arabia,83.0,83,209438.46299820198,2026
Saudi Arabia,27.0,27,23100939373.50511,2026
Saudi Arabia,71.0,71,135801635.7179376,2026
Saudi Arabia,90.0,90,34098001.360077776,2026
Saudi Arabia,29.0,29,57635212.031853534,2026
Saudi Arabia,39.0,39,202184216.62810898,2026
South Korea,38.0,38,107865001.86367005,2026
South Korea,85.0,85,10576277107.47918,2026
South Korea,33.0,33,26296115.235841285,2026
South Korea,84.0,84,4526665637.048152,2026
South Korea,83.0,83,1079539.2742858839,2026
South Korea,27.0,27,114493078069.63438,2026
South Korea,71.0,71,504200716.5180013,2026
South Korea,90.0,90,140453319.10743478,2026
South Korea,29.0,29,277026448.77141976,2026
South Korea,39.0,39,727947642.5153633,2026
Thailand,38.0,38,27643091.529827334,2026
Thailand,85.0,85,2872435018.542586,2026
Thailand,33.0,33,7056697.058937713,2026
Thailand,84.0,84,1235504909.9116497,2026
Thailand,83.0,83,318316.9758896905,2026
Thailand,27.0,27,34423592030.43372,2026
Thailand,71.0,71,144756494.18959883,2026
Thailand,90.0,90,43978450.26370312,2026
Thailand,29.0,29,85207324.54855649,2026
Thailand,39.0,39,214592470.5473506,2026
United States of America,38.0,38,561746031.4577256,2026
United States of America,85.0,85,57597656054.332306,2026
United States of America,33.0,33,120091105.49897039,2026
United States of America,84.0,84,21104327636.011215,2026
United States of America,83.0,83,5794739.561535165,2026
United States of America,27.0,27,628701387601.7292,2026
United States of America,71.0,71,2592321144.4960575,2026
United States of America,90.0,90,697464290.9283086,2026
United States of America,29.0,29,1574292540.112387,2026
United States of America,39.0,39,3993887922.695352,2026
China,All Products,All,1189292697381.2056,2026
Indonesia,All Products,All,90708443741.15303,2026
Japan,All Products,All,73417555894.68138,2026
Malaysia,All Products,All,104132977636.23146,2026
Saudi Arabia,All Products,All,27693738501.034233,2026
South Korea,All Products,All,131380889597.44772,2026
Thailand,All Products,All,39055084804.00182,2026
United States of America,All Products,All,716948969066.8231,2026
