reporteriso3,hs6,partneriso3,mfn,prf,PTA,hs2,sector,broad_sectors,pfm,reporter_region,reporter_dev,reporter_wbgroup,partner_region,partner_dev,partner_wbgroup
MYS,293219,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,611693,SGP,0.0,0.0,1,61,50-63  Textiles,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,740721,SGP,0.0,0.0,1,74,72-83  Metals ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,520541,SGP,10.0,0.0,1,52,50-63  Textiles,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
MYS,290531,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,290541,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,481160,SGP,10.0,0.0,1,48,44-49  Wood & Wood Products,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
MYS,290532,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,240399,SGP,212.81595,5.0,1,24,16-24  Foodstuffs,Agriculture,207.81595,EAS,South,Upper middle income,EAS,North,High income
MYS,961610,SGP,5.0,0.0,1,96,90-97  Miscellaneous,Manufacturing,5.0,EAS,South,Upper middle income,EAS,North,High income
MYS,481029,SGP,5.0,0.0,1,48,44-49  Wood & Wood Products,Manufacturing,5.0,EAS,South,Upper middle income,EAS,North,High income
MYS,720449,SGP,0.0,0.0,1,72,72-83  Metals ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,480630,SGP,0.0,0.0,1,48,44-49  Wood & Wood Products,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,830260,SGP,20.0,0.0,1,83,72-83  Metals ,Manufacturing,20.0,EAS,South,Upper middle income,EAS,North,High income
MYS,900710,SGP,0.0,0.0,1,90,90-97  Miscellaneous,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,293942,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,591190,SGP,0.0,0.0,1,59,50-63  Textiles,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,854060,SGP,0.0,0.0,1,85,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,481110,SGP,12.0,0.0,1,48,44-49  Wood & Wood Products,Manufacturing,12.0,EAS,South,Upper middle income,EAS,North,High income
MYS,70490,SGP,22.5,0.0,1,7,06-15  Vegetable Products,Agriculture,22.5,EAS,South,Upper middle income,EAS,North,High income
MYS,880400,SGP,15.000001,0.0,1,88,86-89  Transportation ,Manufacturing,15.000001,EAS,South,Upper middle income,EAS,North,High income
MYS,293930,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,290941,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,730711,SGP,15.000001,0.0,1,73,72-83  Metals ,Manufacturing,15.000001,EAS,South,Upper middle income,EAS,North,High income
MYS,291090,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,840510,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,293890,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,80410,SGP,0.0,0.0,1,8,06-15  Vegetable Products,Agriculture,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,721260,SGP,20.0,0.0,1,72,72-83  Metals ,Manufacturing,20.0,EAS,South,Upper middle income,EAS,North,High income
MYS,900651,SGP,0.0,0.0,1,90,90-97  Miscellaneous,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,282751,SGP,0.0,0.0,1,28,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,60313,SGP,0.0,0.0,1,6,06-15  Vegetable Products,Agriculture,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,291229,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,842832,SGP,5.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,5.0,EAS,South,Upper middle income,EAS,North,High income
MYS,741999,SGP,5.833333,0.0,1,74,72-83  Metals ,Manufacturing,5.833333,EAS,South,Upper middle income,EAS,North,High income
MYS,630130,SGP,0.0,0.0,1,63,50-63  Textiles,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,840212,SGP,20.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,20.0,EAS,South,Upper middle income,EAS,North,High income
MYS,151620,SGP,2.03125,0.0,1,15,06-15  Vegetable Products,Agriculture,2.03125,EAS,South,Upper middle income,EAS,North,High income
MYS,283325,SGP,0.0,0.0,1,28,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,540120,SGP,5.0,0.0,1,54,50-63  Textiles,Manufacturing,5.0,EAS,South,Upper middle income,EAS,North,High income
MYS,840130,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
