Year,Country,Partner Country,Adjusted_value
2018,KOR,MYS,1.0
2018,KOR,SAU,0.0
2018,KOR,THA,1.0
2018,KOR,USA,1.0
2018,MYS,SAU,0.0
2018,MYS,THA,1.0
2018,MYS,USA,1.0
2018,SAU,THA,1.0
2018,SAU,USA,1.0
2018,THA,USA,0.0
2018,IDN,CHN,1.0
2018,IDN,HKG,1.0
2018,IDN,JPN,1.0
2018,IDN,KOR,0.0
2018,IDN,MYS,1.0
2018,IDN,SAU,0.0
2018,IDN,THA,1.0
2018,IDN,SG,1.0
2018,IDN,USA,0.0
2019,SGP,CHN,1.0
2019,SGP,HKG,1.0
2019,SGP,JPN,1.0
2019,SGP,KOR,1.0
2019,SGP,MYS,1.0
2019,SGP,SAU,0.0
2019,SGP,THA,1.0
2019,SGP,USA,1.0
2019,CHN,HKG,1.0
2019,CHN,JPN,0.0
2019,CHN,KOR,1.0
2019,CHN,MYS,1.0
2019,CHN,SAU,1.0
2019,CHN,THA,1.0
2019,CHN,USA,0.0
2019,HKG,JPN,1.0
2019,HKG,KOR,1.0
2019,HKG,MYS,1.0
2019,HKG,SAU,1.0
2019,HKG,THA,1.0
2019,HKG,USA,1.0
2019,JPN,KOR,1.0
2019,JPN,MYS,1.0
2019,JPN,SAU,1.0
2019,JPN,THA,1.0
2019,JPN,USA,1.0
2019,KOR,MYS,1.0
2019,KOR,SAU,0.0
2019,KOR,THA,1.0
2019,KOR,USA,1.0
2019,MYS,SAU,0.0
2019,MYS,THA,1.0
2019,MYS,USA,1.0
2019,SAU,THA,1.0
2019,SAU,USA,1.0
2019,THA,USA,0.0
2019,IDN,CHN,1.0
2019,IDN,HKG,1.0
2019,IDN,JPN,1.0
2019,IDN,KOR,0.0
2019,IDN,MYS,1.0
2019,IDN,SAU,0.0
2019,IDN,THA,1.0
2019,IDN,SG,1.0
2019,IDN,USA,0.0
2020,SGP,CHN,1.0
2020,SGP,HKG,1.0
2020,SGP,JPN,1.0
2020,SGP,KOR,1.0
2020,SGP,MYS,1.0
2020,SGP,SAU,0.0
2020,SGP,THA,1.0
2020,SGP,USA,1.0
2020,CHN,HKG,1.0
2020,CHN,JPN,0.0
2020,CHN,KOR,1.0
2020,CHN,MYS,1.0
2020,CHN,SAU,1.0
2020,CHN,THA,1.0
2020,CHN,USA,0.0
2020,HKG,JPN,1.0
2020,HKG,KOR,1.0
2020,HKG,MYS,1.0
2020,HKG,SAU,1.0
2020,HKG,THA,1.0
2020,HKG,USA,1.0
2020,JPN,KOR,1.0
2020,JPN,MYS,1.0
2020,JPN,SAU,1.0
2020,JPN,THA,1.0
2020,JPN,USA,1.0
2020,KOR,MYS,1.0
2020,KOR,SAU,0.0
2020,KOR,THA,1.0
2020,KOR,USA,1.0
2020,MYS,SAU,0.0
2020,MYS,THA,1.0
2020,MYS,USA,1.0
2020,SAU,THA,1.0
2020,SAU,USA,1.0
2020,THA,USA,0.0
2020,IDN,CHN,1.0
2020,IDN,HKG,1.0
2020,IDN,JPN,1.0
2020,IDN,KOR,0.0
2020,IDN,MYS,1.0
2020,IDN,SAU,0.0
2020,IDN,THA,1.0
2020,IDN,SG,1.0
2020,IDN,USA,0.0
2021,SGP,CHN,1.0
2021,SGP,HKG,1.0
2021,SGP,JPN,1.0
2021,SGP,KOR,1.0
2021,SGP,MYS,1.0
2021,SGP,SAU,0.0
2021,SGP,THA,1.0
2021,SGP,USA,1.0
2021,CHN,HKG,1.0
2021,CHN,JPN,0.0
2021,CHN,KOR,1.0
2021,CHN,MYS,1.0
2021,CHN,SAU,1.0
2021,CHN,THA,1.0
2021,CHN,USA,0.0
2021,HKG,JPN,1.0
2021,HKG,KOR,1.0
2021,HKG,MYS,1.0
2021,HKG,SAU,1.0
2021,HKG,THA,1.0
2021,HKG,USA,1.0
2021,JPN,KOR,1.0
2021,JPN,MYS,1.0
2021,JPN,SAU,1.0
2021,JPN,THA,1.0
2021,JPN,USA,1.0
2021,KOR,MYS,1.0
2021,KOR,SAU,0.0
2021,KOR,THA,1.0
2021,KOR,USA,1.0
2021,MYS,SAU,0.0
2021,MYS,THA,1.0
2021,MYS,USA,1.0
2021,SAU,THA,1.0
2021,SAU,USA,1.0
2021,THA,USA,0.0
2021,IDN,CHN,1.0
2021,IDN,HKG,1.0
2021,IDN,JPN,1.0
2021,IDN,KOR,0.0
2021,IDN,MYS,1.0
2021,IDN,SAU,0.0
2021,IDN,THA,1.0
2021,IDN,SG,1.0
2021,IDN,USA,0.0
2022,SGP,CHN,1.0
2022,SGP,HKG,1.0
2022,SGP,JPN,1.0
2022,SGP,KOR,1.0
2022,SGP,MYS,1.0
2022,SGP,SAU,0.0
2022,SGP,THA,1.0
2022,SGP,USA,1.0
2022,CHN,HKG,1.0
2022,CHN,JPN,0.0
2022,CHN,KOR,1.0
2022,CHN,MYS,1.0
2022,CHN,SAU,1.0
2022,CHN,THA,1.0
2022,CHN,USA,0.0
2022,HKG,JPN,1.0
2022,HKG,KOR,1.0
2022,HKG,MYS,1.0
2022,HKG,SAU,1.0
2022,HKG,THA,1.0
2022,HKG,USA,1.0
2022,JPN,KOR,1.0
2022,JPN,MYS,1.0
2022,JPN,SAU,1.0
2022,JPN,THA,1.0
2022,JPN,USA,1.0
2022,KOR,MYS,1.0
2022,KOR,SAU,0.0
2022,KOR,THA,1.0
2022,KOR,USA,1.0
2022,MYS,SAU,0.0
2022,MYS,THA,1.0
2022,MYS,USA,1.0
2022,SAU,THA,1.0
2022,SAU,USA,1.0
2022,THA,USA,0.0
2022,IDN,CHN,1.0
2022,IDN,HKG,1.0
2022,IDN,JPN,1.0
2022,IDN,KOR,0.0
2022,IDN,MYS,1.0
2022,IDN,SAU,0.0
2022,IDN,THA,1.0
2022,IDN,SG,1.0
2022,IDN,USA,0.0
2023,SGP,CHN,1.0
2023,SGP,HKG,1.0
2023,SGP,JPN,1.0
2023,SGP,KOR,1.0
2023,SGP,MYS,1.0
2023,SGP,SAU,0.0
2023,SGP,THA,1.0
2023,SGP,USA,1.0
2023,CHN,HKG,1.0
2023,CHN,JPN,0.0
2023,CHN,KOR,1.0
2023,CHN,MYS,1.0
2023,CHN,SAU,1.0
2023,CHN,THA,1.0
2023,CHN,USA,0.0
2023,HKG,JPN,1.0
2023,HKG,KOR,1.0
2023,HKG,MYS,1.0
2023,HKG,SAU,1.0
2023,HKG,THA,1.0
2023,HKG,USA,1.0
2023,JPN,KOR,1.0
2023,JPN,MYS,1.0
2023,JPN,SAU,1.0
2023,JPN,THA,1.0
2023,JPN,USA,1.0
2023,KOR,MYS,1.0
2023,KOR,SAU,0.0
2023,KOR,THA,1.0
2023,KOR,USA,1.0
2023,MYS,SAU,0.0
2023,MYS,THA,1.0
2023,MYS,USA,1.0
2023,SAU,THA,1.0
2023,SAU,USA,1.0
2023,THA,USA,0.0
2023,IDN,CHN,1.0
2023,IDN,HKG,1.0
2023,IDN,JPN,1.0
2023,IDN,KOR,1.0
2023,IDN,MYS,1.0
2023,IDN,SAU,0.0
