Partner,HS Code,HS_Section,Predicted Exports,Target Year
Philippines,33.0,33,79542596.45474929,2025
Philippines,29.0,29,268486584.61617243,2025
Philippines,27.0,27,563293540.9409378,2025
Saudi Arabia,90.0,90,173455261.14989963,2025
Saudi Arabia,85.0,85,1064426882.9791284,2025
Saudi Arabia,84.0,84,386203039.6905349,2025
Saudi Arabia,83.0,83,65659969.13733051,2025
Saudi Arabia,71.0,71,65659969.13733051,2025
Saudi Arabia,39.0,39,65659969.13733051,2025
Saudi Arabia,38.0,38,65659969.13733051,2025
Saudi Arabia,33.0,33,65659969.13733051,2025
Saudi Arabia,29.0,29,65659969.13733051,2025
Saudi Arabia,27.0,27,80974412.51748367,2025
South Korea,90.0,90,846992196.2581944,2025
South Korea,85.0,85,5159790319.210547,2025
South Korea,84.0,84,4560656689.836946,2025
South Korea,83.0,83,65659969.13733051,2025
South Korea,71.0,71,129612322.66040085,2025
South Korea,39.0,39,122964987.08948784,2025
South Korea,38.0,38,153618001.20060474,2025
South Korea,33.0,33,140343950.88803995,2025
South Korea,29.0,29,738209221.0665619,2025
South Korea,27.0,27,1579306209.158837,2025
Thailand,90.0,90,1194893245.2080047,2025
Thailand,85.0,85,4864783256.844008,2025
Thailand,84.0,84,3666896316.9052396,2025
Thailand,83.0,83,65659969.13733051,2025
Thailand,71.0,71,114581592.47629918,2025
Thailand,39.0,39,417209882.62294745,2025
Thailand,38.0,38,545533933.1273625,2025
Thailand,33.0,33,145216244.74386206,2025
Thailand,29.0,29,423390161.86787325,2025
Thailand,27.0,27,1490542281.9916766,2025
United Arab Emirates,90.0,90,747144280.0095453,2025
United Arab Emirates,85.0,85,2509927078.2893357,2025
United Arab Emirates,84.0,84,1322422988.6761734,2025
United Arab Emirates,83.0,83,65659969.13733051,2025
United Arab Emirates,71.0,71,83985790.33933479,2025
United Arab Emirates,39.0,39,293739071.6468425,2025
United Arab Emirates,38.0,38,244743455.38751376,2025
United Arab Emirates,33.0,33,65659969.13733051,2025
United Arab Emirates,29.0,29,142873992.52759373,2025
United Arab Emirates,27.0,27,674081267.4934479,2025
United States of America,90.0,90,2635483331.663494,2025
United States of America,85.0,85,26489122129.84347,2025
United States of America,84.0,84,17405556822.350906,2025
United States of America,83.0,83,65659969.13733051,2025
United States of America,71.0,71,505832304.14507854,2025
United States of America,39.0,39,862360145.7657644,2025
United States of America,38.0,38,799126025.3663206,2025
United States of America,33.0,33,342110611.835468,2025
United States of America,29.0,29,884278764.1055309,2025
United States of America,27.0,27,4652639857.794723,2025
Australia,All Products,All,14224012823.86955,2025
China,All Products,All,76117581569.5112,2025
Germany,All Products,All,5924639373.43103,2025
India,All Products,All,12252310634.125051,2025
Indonesia,All Products,All,38990996872.83241,2025
Japan,All Products,All,14708427706.43338,2025
Malaysia,All Products,All,26725918378.76142,2025
Philippines,All Products,All,10020780081.265821,2025
Saudi Arabia,All Products,All,2099019411.1610296,2025
South Korea,All Products,All,13497153866.50695,2025
Thailand,All Products,All,12928706884.924604,2025
United Arab Emirates,All Products,All,6150237862.644448,2025
United States of America,All Products,All,54642169962.00809,2025
Australia,90.0,90,2038269738.007947,2026
Australia,85.0,85,9825317159.244331,2026
Australia,84.0,84,3062416963.196124,2026
Australia,83.0,83,65659969.13733051,2026
Australia,71.0,71,73344477.6516242,2026
Australia,39.0,39,545481439.8041456,2026
Australia,38.0,38,258983962.54298794,2026
Australia,33.0,33,81467437.91922684,2026
Australia,29.0,29,307494188.6383271,2026
Australia,27.0,27,819545595.2643821,2026
China,90.0,90,8207617601.376497,2026
China,85.0,85,26489122129.84347,2026
China,84.0,84,26489122129.84347,2026
China,83.0,83,65659969.13733051,2026
China,71.0,71,406950260.6670716,2026
China,39.0,39,5232526504.917879,2026
China,38.0,38,3379689578.9194484,2026
China,33.0,33,860505205.602975,2026
China,29.0,29,3470131136.8325214,2026
China,27.0,27,10890993280.028849,2026
Germany,90.0,90,210968081.1429165,2026
Germany,85.0,85,5333198867.710588,2026
Germany,84.0,84,3526745602.8480415,2026
Germany,83.0,83,65659969.13733051,2026
Germany,71.0,71,80351147.76023227,2026
Germany,39.0,39,308326489.1774601,2026
Germany,38.0,38,143925388.84111753,2026
Germany,33.0,33,65659969.13733051,2026
Germany,29.0,29,65659969.13733051,2026
Germany,27.0,27,688103525.7936856,2026
India,90.0,90,1025295851.4983964,2026
India,85.0,85,8990704105.374666,2026
India,84.0,84,4251409837.0733933,2026
India,83.0,83,65659969.13733051,2026
India,71.0,71,73031224.32898374,2026
India,39.0,39,687447857.0230727,2026
India,38.0,38,464790650.25012743,2026
India,33.0,33,111841375.52184822,2026
India,29.0,29,196395278.084338,2026
India,27.0,27,1462758952.650026,2026
Indonesia,90.0,90,6412926136.581005,2026
Indonesia,85.0,85,24689269613.25506,2026
Indonesia,84.0,84,13581209242.521101,2026
Indonesia,83.0,83,65659969.13733051,2026
Indonesia,71.0,71,366931149.881175,2026
Indonesia,39.0,39,2174110057.093475,2026
Indonesia,38.0,38,1277142068.5119753,2026
Indonesia,33.0,33,279352950.0275114,2026
Indonesia,29.0,29,991722456.7040135,2026
Indonesia,27.0,27,4635861884.980743,2026
Japan,90.0,90,1084113810.932055,2026
Japan,85.0,85,10946755660.928238,2026
Japan,84.0,84,5558663888.094808,2026
Japan,83.0,83,65659969.13733051,2026
Japan,71.0,71,95053148.03550668,2026
Japan,39.0,39,628674913.1385918,2026
Japan,38.0,38,304286609.2725393,2026
Japan,33.0,33,102854666.33015236,2026
Japan,29.0,29,386242684.4746251,2026
Japan,27.0,27,1118041124.503201,2026
Malaysia,90.0,90,3234123471.623358,2026
Malaysia,85.0,85,14852010974.448673,2026
Malaysia,84.0,84,9246521537.081661,2026
Malaysia,83.0,83,65659969.13733051,2026
Malaysia,71.0,71,175080204.9769363,2026
Malaysia,39.0,39,1377698600.9947119,2026
Malaysia,38.0,38,664506991.3945613,2026
Malaysia,33.0,33,133602386.39177038,2026
Malaysia,29.0,29,416501794.4899371,2026
