ReporterName,PartnerName,ProductCode,Year,TradeValue in 1000 USD_Export,TradeValue in 1000 USD_Import,Total_Trade,HS Code,4 digit categories,Product descriptions
Singapore,Malaysia,62,2023,101722.346,71463.435,173185.78100000002,62.0,6201 - 6217,"Articles of apparel and clothing accessories, not knitted or crocheted"
Singapore,Malaysia,68,2023,24889.046,713056.868,737945.914,68.0,6801 - 6815,"Articles of stone, plaster, cement, asbestos, mica or similar materials"
Singapore,Malaysia,67,2023,51.24,92.91,144.15,67.0,6701 - 6704,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair
Singapore,Malaysia,66,2023,134.161,411.709,545.87,66.0,6601 - 6603,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof"
Singapore,Malaysia,65,2023,4371.671,37868.72,42240.391,65.0,6501 - 6507,Headgear and parts thereof
Singapore,Malaysia,64,2023,128070.939,23561.707,151632.646,64.0,6401 - 6406,"Footwear, gaiters and the like; parts of such articles"
Singapore,Malaysia,63,2023,14265.773,17386.135,31651.907999999996,63.0,6301 - 6310,Other made up textile articles; sets; worn clothing and worn textile articles; rags
Singapore,Malaysia,61,2023,60651.373,49245.534,109896.907,61.0,6101 - 6117,"Articles of apparel and clothing accessories, knitted or crocheted"
Singapore,Malaysia,70,2023,20733.778,85507.92,106241.698,70.0,7001 - 7020,Glass and glassware
Singapore,Malaysia,60,2023,769.5,61889.979,62659.479,60.0,6001 - 6006,Knitted or crocheted fabrics
Singapore,Malaysia,59,2023,10948.685,9035.513,19984.198,59.0,5901 - 5911,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use"
Singapore,Malaysia,58,2023,2667.123,2940.419,5607.5419999999995,58.0,5801 - 5811,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery
Singapore,Malaysia,57,2023,1383.533,1485.61,2869.143,57.0,5701 - 5705,Carpets and other textile floor coverings
Singapore,Malaysia,56,2023,4038.732,10487.338,14526.07,56.0,5601 - 5609,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"
Singapore,Malaysia,55,2023,2764.634,6415.884,9180.518,55.0,5501 - 5516,Man-made staple fibres
Singapore,Malaysia,69,2023,8191.26,32435.34,40626.6,69.0,6901 - 6914,Ceramic products
